idu,commune,status,tier_v2,rang_v2,etage0,n_zones_raw,n_zones_dedup,total_cov_raw_pct,total_cov_dedup_pct,an_cov_raw_pct,an_cov_dedup_pct,uau_cov_raw_pct,uau_cov_dedup_pct,zone_majoritaire_raw,zone_majoritaire_dedup,verdict_raw,verdict_dedup,hard_exclude_infonde,zone_majoritaire_change,verdict_change
97408000AM0870,La Possession,ecartee,ecartee,18282,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0871,La Possession,ecartee,ecartee,20908,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0872,La Possession,ecartee,a_creuser,46228,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0873,La Possession,ecartee,ecartee,48745,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0874,La Possession,ecartee,ecartee,42351,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0875,La Possession,ecartee,a_creuser,83124,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0876,La Possession,ecartee,ecartee,126068,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0877,La Possession,ecartee,a_creuser,25952,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0878,La Possession,ecartee,ecartee,16042,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0879,La Possession,ecartee,a_creuser,23836,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0880,La Possession,ecartee,a_creuser,4228,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0882,La Possession,ecartee,ecartee,70164,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0883,La Possession,a_creuser,a_creuser,162318,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0884,La Possession,ecartee,ecartee,10810,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0885,La Possession,ecartee,ecartee,16317,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0886,La Possession,ecartee,a_creuser,18422,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0887,La Possession,ecartee,a_creuser,14785,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0888,La Possession,ecartee,ecartee,11321,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0889,La Possession,a_creuser,a_creuser,23937,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0890,La Possession,a_creuser,a_creuser,9146,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0891,La Possession,ecartee,a_creuser,18877,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0892,La Possession,ecartee,ecartee,27042,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0893,La Possession,ecartee,ecartee,4475,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0894,La Possession,ecartee,a_creuser,14717,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0895,La Possession,ecartee,ecartee,18208,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0896,La Possession,ecartee,ecartee,9365,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
