idu,commune,statut_avant,statut_apres,etage0_avant,etage0_apres,tier_avant,tier_apres,rang_avant,rang_apres,motifs_he_v5
97415000CT1584,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,28922,28915,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1585,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,94547,94556,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1592,Saint-Paul,opportunite,a_creuser,0,0,a_creuser,a_creuser,228426,228422,
97415000CT1593,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,32856,32848,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1800,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,55142,55141,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1801,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,61526,61523,zonage_plu_gpu:HARD_EXCLUDE
97415000CT1861,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,51283,51283,bati:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1866,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,158843,158834,zonage_plu_gpu:HARD_EXCLUDE
97415000CT1867,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,66573,66562,zonage_plu_gpu:HARD_EXCLUDE
97415000CT2576,Saint-Paul,opportunite,a_creuser,0,0,a_creuser,a_creuser,230159,230158,
97415000CT2618,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,58788,58784,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT2645,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,424,424,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT2646,Saint-Paul,opportunite,exclue,0,1,a_creuser,a_creuser,64320,64314,zonage_plu_gpu:HARD_EXCLUDE
97415000CT2647,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,15695,15695,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT2741,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,25162,25161,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT2742,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,38590,38583,bati:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT2743,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,13726,13728,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT3090,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,51688,51688,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT3091,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,30512,30503,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT3102,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,150845,150841,zonage_plu_gpu:HARD_EXCLUDE
97415000CT3103,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,63856,63851,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT3104,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,159895,159886,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT3105,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,161925,161917,emprise_lineaire:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT3106,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,51613,51612,zonage_plu_gpu:HARD_EXCLUDE
97415000CT3111,Saint-Paul,opportunite,exclue,0,1,a_creuser,a_creuser,10118,10122,zonage_plu_gpu:HARD_EXCLUDE
97415000CT3112,Saint-Paul,opportunite,a_creuser,0,0,a_creuser,a_creuser,76492,76485,
97415000CT3168,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,54235,54234,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT3170,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,34189,34180,zonage_plu_gpu:HARD_EXCLUDE
97415000CT3171,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,40153,40149,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CX1304,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,36256,36248,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CX1307,Saint-Paul,opportunite,a_creuser,0,0,a_creuser,a_creuser,48171,48169,
97415000CX1331,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,2086,2086,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CX1332,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,32952,32944,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CX1353,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,49738,49739,zonage_plu_gpu:HARD_EXCLUDE
97415000CX1516,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,4588,4588,emprise_lineaire:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CX1593,Saint-Paul,opportunite,a_creuser,0,0,a_creuser,a_creuser,45022,45019,
97415000CX1594,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,5816,5820,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0133,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,276305,276315,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0134,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,290928,290949,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0135,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,120703,120710,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0346,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,309651,309672,bati:HARD_EXCLUDE | osm_faux_positif:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0360,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,50167,50167,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0361,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,306128,306146,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0362,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,240122,240114,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0363,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,252130,252123,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
