idu,p_arene,p_raw,ponderee_au,ecart
97423000AB1774,0.04905660377358491,0.049057,False,3.962264150947359e-07
97408000AO1476,0.013754472403073493,0.013754,False,4.72403073492611e-07
97404000AI2300,0.006731287022078621,0.006731,False,2.870220786209063e-07
97418000AP1526,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97418000AP0717,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97406000AK0089,0.009585067473830243,0.009585,False,6.747383024356679e-08
97423000AL0222,0.0029154518950437317,0.002915,False,4.518950437316753e-07
97415000ES0313,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97413000CB0141,1e-07,0.0,False,1e-07
97414000CI0329,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97414000CT1214,0.007278472085084773,0.007278,False,4.720850847730537e-07
97414000CW0347,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97406000AS0105,0.010748560460652593,0.010749,False,4.3953934740666167e-07
97406000AW0584,0.007278472085084773,0.007278,False,4.720850847730537e-07
97421000AE0343,0.008840227088402269,0.00884,False,2.270884022683578e-07
97415000DZ0158,0.013703943115707821,0.013704,False,5.6884292177691864e-08
97415000EV0474,0.009841443411700382,0.009841,False,4.4341170038139643e-07
97422000BY0605,0.03275862068965517,0.032759,False,3.7931034483490444e-07
97422000CM1094,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97414000EN3493,0.031053604436229204,0.031054,False,3.955637707941939e-07
97410000AP0351,0.013703943115707821,0.013704,False,5.6884292177691864e-08
97407000AO1737,0.018904958677685952,0.018905,False,4.132231404968545e-08
97417000AT0406,0.00805142928473349,0.008051,False,4.292847334899652e-07
97410000BH0630,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97411000AV0517,0.018904958677685952,0.018905,False,4.132231404968545e-08
97415000EO0958,0.019702323589249383,0.019702,False,3.23589249381917e-07
97422000CS0389,0.009585067473830243,0.009585,False,6.747383024356679e-08
97408000AN1745,0.013754472403073493,0.013754,False,4.72403073492611e-07
97411000EM0029,0.011601693517347555,0.011602,False,3.064826524443176e-07
97412000BK0682,0.009404388714733543,0.009404,False,3.887147335436547e-07
