parcelle_id,commune,p_mutation_fonciere_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97415000DK1147,97415,0.091398,0.963,1.1475,piscine [true]: +0.412,zone_plu [AU]: +0.388,tenure_bin [3+]: +0.319,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239
97415000DK1118,97415,0.091398,1.0253,0.8264,zone_plu [AU]: +0.388,tenure_bin [3+]: +0.319,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,pct_bati_secteur [≤ 0.3421]: +0.213
97415000DK1111,97415,0.091398,1.0095,1.0339,tenure_bin [1-2]: +0.514,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,pct_bati_secteur [≤ 0.3421]: +0.213
97415000DK1109,97415,0.091398,1.0916,1.0283,tenure_bin [1-2]: +0.514,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,pct_bati_secteur [≤ 0.3421]: +0.213
97415000DK1107,97415,0.091398,1.0095,1.2409,piscine [true]: +0.412,zone_plu [AU]: +0.388,tenure_bin [3+]: +0.319,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239
97404000AT0861,97404,0.091398,0.207,1.3928,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214",nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.086
97404000AW0199,97404,0.091398,-0.1628,1.7815,permis_bin [<2a]: +1.295,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125
97404000AZ0125,97404,0.091398,0.1287,1.7327,permis_bin [<2a]: +1.295,piscine [true]: +0.412,rot_nu [≤ 0.001202]: -0.276,tenure_bin*permis_bin: +0.221,"rot_bati [(0.01315, 0.01526]]: +0.128"
97415000CT2645,97415,0.091398,0.4968,0.9416,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,tenure_bin*rot_nu: -0.138,filo_pct_pauv [≤ 0.07692]: +0.136,"rot_nu [(0.006453, 0.008753]]: +0.132"
97415000CT2722,97415,0.091398,0.2633,1.4029,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125
97415000CT1241,97415,0.091398,0.3489,1.3957,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"rot_nu [(0.006453, 0.008753]]: +0.132","filo_pct_pauv [(0.07692, 0.1311]]: +0.089"
97415000CT2593,97415,0.091398,0.3489,1.1857,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.006453, 0.008753]]: +0.132","filo_pct_pauv [(0.07692, 0.1311]]: +0.089",zone_plu [U]: +0.077
97415000AB0823,97415,0.091398,0.9115,0.8558,tenure_bin [<1]: +0.892,zone_plu [AU]: +0.388,tenure_bin*rot_nu: -0.224,tenure_bin*surface_m2: +0.217,"rot_nu [(0.008753, 0.01151]]: +0.214"
97415000AB0533,97415,0.091398,0.582,1.0539,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*rot_nu: -0.224
97415000AB0534,97415,0.091398,0.582,1.0539,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*rot_nu: -0.224
97415000AB0535,97415,0.091398,0.582,1.0539,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*rot_nu: -0.224
97415000AB0690,97415,0.091398,0.5852,0.9001,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,zone_plu [AU]: +0.388,tenure_bin*rot_nu: -0.224,"rot_nu [(0.008753, 0.01151]]: +0.214"
97415000AB0797,97415,0.091398,0.7893,0.8448,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,piscine [true]: +0.412,zone_plu [AU]: +0.388,tenure_bin*rot_nu: -0.224
97407000AL1664,97407,0.091398,0.0822,1.5064,permis_bin [<2a]: +1.295,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,surface_m2*permis_bin: +0.125,zone_plu [U]: +0.077
97415000AB0828,97415,0.091398,0.8215,0.8597,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.415,zone_plu [AU]: +0.388,tenure_bin*rot_nu: -0.224,"sdp_residuelle_m2 [(719, 1341]]: -0.215"
97415000AB0530,97415,0.091398,0.5908,0.9371,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,zone_plu [AU]: +0.388,tenure_bin*rot_nu: -0.224,"rot_nu [(0.008753, 0.01151]]: +0.214"
97407000AH1220,97407,0.091398,-0.0746,1.5542,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125,zone_plu [U]: +0.077
97407000AH1188,97407,0.091398,-0.1351,1.7484,permis_bin [<2a]: +1.295,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125
97407000AH0232,97407,0.091398,-0.069,1.7208,permis_bin [<2a]: +1.295,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125
97406000AW1250,97406,0.091398,0.27,1.329,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214",nu_constructible [true]: +0.195,sdp_residuelle_m2 [manquant]: -0.156
97415000AW2175,97415,0.091398,0.1003,1.4969,permis_bin [<2a]: +1.295,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.001992, 0.003646]]: -0.089","filo_pct_pauv [(0.07692, 0.1311]]: +0.089"
97415000AX0990,97415,0.091398,0.3751,0.9336,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,nu_constructible [true]: +0.195,sdp_residuelle_m2 [> 1341]: -0.148,tenure_bin*rot_nu: -0.138
97415000AB0531,97415,0.091398,0.5908,1.0539,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*rot_nu: -0.224
97415000AB0492,97415,0.091398,0.5962,0.563,tenure_bin*surface_m2: +0.838,tenure_bin [1-2]: +0.514,zone_plu [AU]: +0.388,surface_m2 [> 1.204e+04]: -0.262,canopee_pct [≤ 0.4]: +0.239
97424000AH0429,97424,0.091398,0.1345,1.496,permis_bin [<2a]: +1.295,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.006453, 0.008753]]: +0.132",zone_plu [U]: +0.077
97414000ET1265,97414,0.091398,0.1449,1.0233,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,piscine [true]: +0.412,"surface_m2 [(1239, 1.204e+04]]: -0.112","filo_pct_pauv [(0.07692, 0.1311]]: +0.089"
97424000AM0709,97424,0.091398,0.4713,1.2347,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,tenure_bin*permis_bin: +0.221,"pct_bati_secteur [(0.3421, 0.4356]]: +0.123","canopee_pct [(0.4, 1.9]]: +0.123"
97414000ES0993,97414,0.091398,0.2328,1.3437,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125,pv_candidat [true]: +0.081
97414000ES1044,97414,0.091398,0.1896,1.4815,permis_bin [<2a]: +1.295,piscine [true]: +0.412,"canopee_pct [(44.8, 61.2]]: -0.389",tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97424000AI1863,97424,0.091398,0.3146,1.2809,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214",nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125
97414000ES1046,97414,0.091398,0.2081,1.2585,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125,zone_plu [U]: +0.077
