parcelle_id,commune,p_mutation_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97411000AH0052,97411,0.651163,0.3653,0.6734,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AD0255,97411,0.651163,0.3671,0.6959,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AN0680,97411,0.651163,0.3036,0.6778,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97416000DR0468,97416,0.651163,0.3205,0.7938,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HK0078,97411,0.651163,0.2934,0.9935,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000BD0194,97411,0.651163,0.1859,0.8439,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HB0258,97411,0.651163,0.2448,0.7512,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97415000CT2975,97415,0.651163,0.3332,2.0007,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,permis_bin [<2a]: +0.697,nu_constructible [true]: +0.458
97411000HK0012,97411,0.651163,0.2349,0.6603,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97415000HM0108,97415,0.651163,0.527,0.6776,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97408000BM0159,97408,0.651163,0.2089,1.3369,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97411000AY0394,97411,0.651163,0.2346,0.9513,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000DN0027,97411,0.651163,0.2743,0.7512,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AS0266,97411,0.651163,0.2547,0.9245,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AD0111,97411,0.651163,0.3764,0.6778,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HM0101,97411,0.651163,0.4048,0.8004,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000BD0767,97411,0.651163,0.1819,0.9927,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HN0183,97411,0.651163,0.2062,0.7661,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97408000BM0116,97408,0.651163,0.2691,0.808,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
