feature,bin,effectif,taux_evenement,woe,coef,log_hazard
filo_pct_pauv,"(0.1311, 0.1754]",134267,0.023013845546560212,0.23281007614269747,0.2409834898917779,0.05610338463083778
filo_pct_pauv,"(0.1754, 0.2419]",270242,0.021114408567136124,0.14465519194077966,0.2409834898917779,0.03485951298485407
filo_pct_pauv,"(0.2419, 0.2661]",134876,0.019818203386814556,0.08007462722799495,0.2409834898917779,0.019296663121185404
filo_pct_pauv,"(0.2661, 0.3333]",380205,0.0184269012769427,0.005753714346341182,0.2409834898917779,0.0013865501630216878
filo_pct_pauv,"(0.3333, 0.4167]",554568,0.01636589200963633,-0.11497184664970285,0.2409834898917779,-0.027706316844947704
filo_pct_pauv,"(0.4167, 0.4384]",143661,0.01450637264114826,-0.23728969806385156,0.2409834898917779,-0.0571828995547932
filo_pct_pauv,"(0.4384, 0.6]",669746,0.01532521284188334,-0.18173554254650243,0.2409834898917779,-0.04379526528023184
filo_pct_pauv,> 0.6,140336,0.013111389807319575,-0.33977922678672534,0.2409834898917779,-0.08188118386379493
filo_pct_pauv,manquant/inconnu,323988,0.008827487437806338,-0.6815312440075777,0.2409834898917779,-0.1642377776512309
filo_pct_prop,≤ 0.28,268884,0.022556195236607606,0.21217804838418655,-0.1473366332611123,-0.03126159930083943
filo_pct_prop,"(0.28, 0.3676]",135408,0.020582240340304855,0.11867448432453923,-0.1473366332611123,-0.017485098974376254
filo_pct_prop,"(0.3676, 0.4821]",269437,0.019199293341300563,0.04762750046420729,-0.1473366332611123,-0.007017275569038365
filo_pct_prop,"(0.4821, 0.5854]",403081,0.017753255549132804,-0.03217647367400414,-0.1473366332611123,0.004740773301342583
filo_pct_prop,"(0.5854, 0.6332]",271985,0.01668842031729691,-0.09507411857742397,-0.1473366332611123,0.014007900541465418
filo_pct_prop,"(0.6332, 0.6897]",401954,0.017397513148270698,-0.05277859163282576,-0.1473366332611123,0.007776219999443658
filo_pct_prop,"(0.6897, 0.7105]",137354,0.018048254874266492,-0.01526664983431777,-0.1473366332611123,0.002249336787764698
filo_pct_prop,"(0.7105, 0.7532]",269927,0.01677120110252031,-0.0900415411433624,-0.1473366332611123,0.013266417525704939
filo_pct_prop,"(0.7532, 0.8571]",400757,0.01783624490651442,-0.027428202652310038,-0.1473366332611123,0.004041179035194872
filo_pct_prop,> 0.8571,138866,0.018442239281033515,0.006722888270711724,-0.1473366332611123,-0.0009905277235972866
filo_pct_prop,manquant/inconnu,323988,0.008827487437806338,-0.6815312440075777,-0.1473366332611123,0.1004145189543341
pente_moy_deg,≤ 1.7,128800,0.01751552795031056,0.018353868552842857,-0.1579925625628523,-0.0028997747256053925
pente_moy_deg,"(1.7, 2.2]",139461,0.0169438050781222,-0.01542312110620433,-0.1579925625628523,0.0024367384262864353
pente_moy_deg,"(2.2, 2.8]",169743,0.017909427781999845,0.04093814347286879,-0.1579925625628523,-0.006467922193844245
pente_moy_deg,"(2.8, 5.9]",729988,0.01895373622580097,0.09854984815746075,-0.1579925625628523,-0.01557014305057721
pente_moy_deg,"(5.9, 6.6]",145684,0.018444029543395295,0.07091719909619827,-0.1579925625628523,-0.011204390014988358
pente_moy_deg,"(6.6, 13.8]",1054228,0.017683081838084362,0.02785366179662466,-0.1579925625628523,-0.004400671404007751
pente_moy_deg,"(13.8, 15.7]",151025,0.017003807316669426,-0.011843697837666079,-0.1579925625628523,0.0018712161715929764
pente_moy_deg,"(15.7, 18.4]",148540,0.01540325838158072,-0.11230504563937828,-0.1579925625628523,0.017743361949303454
pente_moy_deg,"(18.4, 23.1]",146496,0.013795598514635212,-0.22413717967351163,-0.1579925625628523,0.03541200738222855
pente_moy_deg,> 23.1,150199,0.008628552786636396,-0.6984971658936349,-0.1579925625628523,0.11035735718242512
pente_moy_deg,manquant/inconnu,57477,0.022461158376394036,0.2664414948523229,-0.1579925625628523,-0.04209577454479551
acces_equipements,≤ 0.534,151081,0.008909128215990098,-0.6721232430777037,0.030084242323301834,-0.02022031851587314
acces_equipements,"(0.534, 0.8465]",151081,0.011450811154281478,-0.4186536761268933,0.030084242323301834,-0.012594878642142582
acces_equipements,"(0.8465, 1.052]",151081,0.012906983671010914,-0.29750418918443833,0.030084242323301834,-0.008950188119622076
acces_equipements,"(1.052, 1.218]",151081,0.01442934584759169,-0.18449227730016574,0.030084242323301834,-0.005550310377075984
acces_equipements,"(1.218, 1.489]",302169,0.01615983108790114,-0.06959561647609308,0.030084242323301834,-0.002093731390706362
acces_equipements,"(1.489, 1.747]",302162,0.01732514346608773,0.0012128773993887179,0.030084242323301834,3.648849759166633e-05
acces_equipements,"(1.747, 2.527]",906493,0.018739251158034313,0.0810494928354176,0.030084242323301834,0.002438312582641419
acces_equipements,"(2.527, 2.656]",151081,0.020631316975662062,0.17929754635843825,0.030084242323301834,0.005394030832620701
acces_equipements,"(2.656, 3.291]",604324,0.019825457866972023,0.13851561834555134,0.030084242323301834,0.00416713742786956
acces_equipements,> 3.291,151088,0.01905512019485333,0.09822838250643869,0.030084242323301834,0.0029551264623496843
zone_plu,A,516789,0.007397603277159537,-0.8597588127230729,0.5650317740634953,-0.4857910472196422
zone_plu,AU,73990,0.03623462630085147,0.75863227573356,0.5650317740634953,0.42865134061956006
zone_plu,N,252602,0.007735489030173949,-0.8146316583312518,0.5650317740634953,-0.46029277111519434
zone_plu,U,2147614,0.02021592334562915,0.15843513434149298,0.5650317740634953,0.08952088503096198
zone_plu,inconnu,30646,0.013509103961365268,-0.2503143144150543,0.5650317740634953,-0.14143554114742568
nu_constructible,false,2552802,0.016827000292227914,-0.028475223312372542,0.13783604175616307,-0.003924912069500249
nu_constructible,true,468839,0.019904487467979414,0.14266134387402565,0.13783604175616307,0.01966387495121054
surface_m2,≤ 47.23,151081,0.021332927370086244,0.2134505183360008,0.27069274585389935,0.057779506912310145
surface_m2,"(47.23, 236]",453243,0.02005987957894551,0.15052270534503615,0.27069274585389935,0.04074540442320525
surface_m2,"(236, 490.3]",755412,0.021900631708259864,0.24017228627192644,0.27069274585389935,0.06501289564895654
surface_m2,"(490.3, 614.5]",302162,0.019956182445178414,0.14526146465413986,0.27069274585389935,0.03932122473398827
surface_m2,"(614.5, 821.3]",302162,0.01714974086748168,-0.00914038684030282,0.27069274585389935,-0.0024742364119684176
surface_m2,"(821.3, 991.4]",151088,0.015117017896854813,-0.13724765394255187,0.27069274585389935,-0.03715194430771512
surface_m2,"(991.4, 1239]",151081,0.01326440783420814,-0.26983312393684605,0.27069274585389935,-0.07304186924080039
surface_m2,"(1239, 4594]",453243,0.011766315199572856,-0.3913472246743742,0.27069274585389935,-0.10593485482940923
surface_m2,"(4594, 1.204e+04]",151081,0.010457966256511408,-0.5103266456382309,0.27069274585389935,-0.1381417209902226
surface_m2,> 1.204e+04,151088,0.006724557873557132,-0.9555146286619367,0.27069274585389935,-0.25865087853606866
sous_densite,false,1327319,0.021875675704182643,0.0721690896111863,-0.007054725662496277,-0.0005091331285190294
sous_densite,true,449029,0.015972242327332978,-0.24831944634031095,-0.007054725662496277,0.0017518255705938589
sous_densite,manquant/inconnu,1245293,0.012912623776091248,-0.297208779335082,-0.007054725662496277,0.002096726402694396
sdp_residuelle_m2,≤ 26,2089983,0.017079564762010026,-0.015675485986661984,0.3412575818729574,-0.005349378442491699
