idu,avant,apres,r_avant,r_apres,d_avant,d_apres,nature
97418000BV0485,a_creuser,chaude,6806,5820,0.6693,0.6693,heritage_de_place
97406000AH0571,a_creuser,chaude,6244,5833,0.6594,0.6594,heritage_de_place
97411000DW0270,a_creuser,chaude,6708,5839,0.6562,0.6562,heritage_de_place
97415000CT1498,a_creuser,chaude,6721,5851,0.6525,0.6525,heritage_de_place
97415000CO0306,a_creuser,chaude,6630,5861,0.6461,0.6461,heritage_de_place
97408000AN1708,a_creuser,chaude,5009,5864,0.6445,0.6445,heritage_de_place
97411000CE1111,a_creuser,chaude,5286,5869,0.6422,0.6422,heritage_de_place
97411000EL0140,a_creuser,chaude,6171,5889,0.6315,0.6315,heritage_de_place
97401000AO1126,a_creuser,chaude,4750,5902,0.6284,0.6284,heritage_de_place
97422000AK0430,a_creuser,chaude,4491,5927,0.6186,0.6186,heritage_de_place
97415000EZ0088,a_creuser,chaude,6701,5941,0.6165,0.6165,heritage_de_place
97424000AI0038,a_creuser,chaude,5233,5955,0.6130,0.6130,heritage_de_place
97408000AB0300,a_creuser,chaude,5310,5964,0.6092,0.6092,heritage_de_place
97416000EX0250,a_creuser,chaude,4892,5965,0.6091,0.6091,heritage_de_place
97415000ER0426,a_creuser,chaude,6929,5969,0.6085,0.6085,heritage_de_place
97415000CY0363,a_creuser,chaude,5151,6007,0.6006,0.6006,heritage_de_place
97422000BR1064,a_creuser,chaude,4464,6023,0.5981,0.5981,heritage_de_place
97411000BL0524,a_creuser,chaude,5104,6055,0.5906,0.5906,heritage_de_place
97415000DR0694,a_creuser,chaude,5560,6077,0.5857,0.5857,heritage_de_place
97422000CX1330,a_creuser,chaude,5118,6078,0.5856,0.5856,heritage_de_place
97415000DK1146,a_creuser,chaude,5969,6111,0.5805,0.5805,heritage_de_place
97411000BX0347,a_creuser,chaude,4634,6119,0.5797,0.5797,heritage_de_place
97422000DM0774,a_creuser,chaude,6903,6123,0.5781,0.5781,heritage_de_place
97415000AY0927,a_creuser,chaude,6703,6127,0.5778,0.5778,heritage_de_place
97416000CW0939,a_creuser,chaude,6038,6130,0.5773,0.5773,heritage_de_place
97418000BM0497,a_creuser,chaude,4461,6153,0.5721,0.5721,heritage_de_place
97422000CM0884,a_creuser,chaude,5431,6192,0.5610,0.5610,heritage_de_place
97415000CL0940,a_creuser,chaude,5898,6217,0.5537,0.5537,heritage_de_place
97405000AW1683,a_creuser,chaude,5262,6241,0.5491,0.5491,heritage_de_place
97411000EL0203,a_creuser,chaude,5386,6261,0.5370,0.5370,heritage_de_place
97415000BV0220,a_creuser,chaude,6810,6268,0.5328,0.5328,heritage_de_place
97415000EZ0057,a_creuser,chaude,6102,6276,0.5277,0.5277,heritage_de_place
97411000DV0071,a_creuser,chaude,6819,6287,0.5220,0.5220,heritage_de_place
97408000AP1375,a_creuser,chaude,6158,6289,0.5196,0.5196,heritage_de_place
