idu,strate,grandeur,surface,valeur
97409000AR1260,tier_declasse_bati_sature,tier,carte_tuile,declasse_bati_sature
97409000AR1260,tier_declasse_bati_sature,tier,db_verite,declasse_bati_sature
97409000AR1260,tier_declasse_bati_sature,tier,export_md,declasse_bati_sature
97409000AR1260,tier_declasse_bati_sature,rang,fiche_v2,19
97409000AR1260,tier_declasse_bati_sature,rang,fiche_legacy,19
97409000AR1260,tier_declasse_bati_sature,rang,carte_tuile,19
97409000AR1260,tier_declasse_bati_sature,rang,db_verite,19
97409000AR1260,tier_declasse_bati_sature,mult,fiche_v2,13.15
97409000AR1260,tier_declasse_bati_sature,mult,carte_tuile,13.15
97409000AR1260,tier_declasse_bati_sature,mult,db_verite,13.15
97409000AR1260,tier_declasse_bati_sature,prix_probable,fiche_legacy,109458
97409000AR1260,tier_declasse_bati_sature,charge_supportable,fiche_legacy,112948
97409000AR1260,tier_declasse_bati_sature,marge_estimee,fiche_legacy,3490
97409000AR1260,tier_declasse_bati_sature,ca_central,module_faisa,1054375
97409000AR1260,tier_declasse_bati_sature,ca_central,fiche_legacy,1054375
97409000AR1260,tier_declasse_bati_sature,charge_fonciere_central,module_faisa,45337
97409000AR1260,tier_declasse_bati_sature,charge_fonciere_central,fiche_legacy,45337
97409000AR1260,tier_declasse_bati_sature,modeb_dispo,fiche_v2,True
97409000AR1260,tier_declasse_bati_sature,modeb_dispo,fiche_legacy,True
97409000AR1260,tier_declasse_bati_sature,modeb_dispo,endpoint_modeb,True
97409000AR1260,tier_declasse_bati_sature,sdp_residuelle,fiche_v2,248
97409000AR1260,tier_declasse_bati_sature,sdp_residuelle,carte_tuile,248
97409000AR1260,tier_declasse_bati_sature,sdp_residuelle,db_residuel,248
97409000AR1260,tier_declasse_bati_sature,vigilances,fiche_v2,"bruit_route,ocs_ge,residuel_socle,risques,sup"
97409000AR1260,tier_declasse_bati_sature,vigilances,carte_tuile,"bruit_route,ocs_ge,residuel_socle,risques,sup"
97409000AW0302,tier_declasse_au_statut_inconnu,tier,fiche_v2,declasse_au_statut_inconnu
97409000AW0302,tier_declasse_au_statut_inconnu,tier,fiche_legacy,declasse_au_statut_inconnu
97409000AW0302,tier_declasse_au_statut_inconnu,tier,carte_tuile,declasse_au_statut_inconnu
97409000AW0302,tier_declasse_au_statut_inconnu,tier,db_verite,declasse_au_statut_inconnu
97409000AW0302,tier_declasse_au_statut_inconnu,tier,export_md,declasse_au_statut_inconnu
97409000AW0302,tier_declasse_au_statut_inconnu,rang,fiche_v2,231
97409000AW0302,tier_declasse_au_statut_inconnu,rang,fiche_legacy,231
97409000AW0302,tier_declasse_au_statut_inconnu,rang,carte_tuile,231
97409000AW0302,tier_declasse_au_statut_inconnu,rang,db_verite,231
97409000AW0302,tier_declasse_au_statut_inconnu,mult,fiche_v2,7.13
97409000AW0302,tier_declasse_au_statut_inconnu,mult,carte_tuile,7.13
97409000AW0302,tier_declasse_au_statut_inconnu,mult,db_verite,7.13
97409000AW0302,tier_declasse_au_statut_inconnu,ca_central,module_faisa,100000
97409000AW0302,tier_declasse_au_statut_inconnu,ca_central,fiche_legacy,100000
97409000AW0302,tier_declasse_au_statut_inconnu,charge_fonciere_central,module_faisa,0
97409000AW0302,tier_declasse_au_statut_inconnu,charge_fonciere_central,fiche_legacy,0
97409000AW0302,tier_declasse_au_statut_inconnu,modeb_dispo,fiche_v2,False
97409000AW0302,tier_declasse_au_statut_inconnu,modeb_dispo,fiche_legacy,False
97409000AW0302,tier_declasse_au_statut_inconnu,modeb_dispo,endpoint_modeb,False
97409000AW0302,tier_declasse_au_statut_inconnu,sdp_residuelle,fiche_v2,0
97409000AW0302,tier_declasse_au_statut_inconnu,sdp_residuelle,carte_tuile,0
97409000AW0302,tier_declasse_au_statut_inconnu,sdp_residuelle,db_residuel,0
97409000AW0302,tier_declasse_au_statut_inconnu,vigilances,fiche_v2,"declassement,icpe,ocs_ge,residuel_socle,risques,sup"
97409000AW0302,tier_declasse_au_statut_inconnu,vigilances,carte_tuile,"declassement,icpe,ocs_ge,residuel_socle,risques,sup"
97411000EL0201,tier_declasse_bati_sature_2,tier,fiche_v2,declasse_bati_sature
97411000EL0201,tier_declasse_bati_sature_2,tier,fiche_legacy,declasse_bati_sature
97411000EL0201,tier_declasse_bati_sature_2,tier,carte_tuile,declasse_bati_sature
97411000EL0201,tier_declasse_bati_sature_2,tier,db_verite,declasse_bati_sature
97411000EL0201,tier_declasse_bati_sature_2,tier,export_md,declasse_bati_sature
97411000EL0201,tier_declasse_bati_sature_2,rang,fiche_v2,53
97411000EL0201,tier_declasse_bati_sature_2,rang,fiche_legacy,53
97411000EL0201,tier_declasse_bati_sature_2,rang,carte_tuile,53
97411000EL0201,tier_declasse_bati_sature_2,rang,db_verite,53
97411000EL0201,tier_declasse_bati_sature_2,mult,fiche_v2,13.15
97411000EL0201,tier_declasse_bati_sature_2,mult,carte_tuile,13.15
97411000EL0201,tier_declasse_bati_sature_2,mult,db_verite,13.15
97411000EL0201,tier_declasse_bati_sature_2,prix_probable,fiche_legacy,151663
97411000EL0201,tier_declasse_bati_sature_2,charge_supportable,fiche_legacy,44088
97411000EL0201,tier_declasse_bati_sature_2,marge_estimee,fiche_legacy,-107575
97411000EL0201,tier_declasse_bati_sature_2,ca_central,module_faisa,286425
97411000EL0201,tier_declasse_bati_sature_2,ca_central,fiche_legacy,286425
97411000EL0201,tier_declasse_bati_sature_2,charge_fonciere_central,module_faisa,-57154
97411000EL0201,tier_declasse_bati_sature_2,charge_fonciere_central,fiche_legacy,-57154
97411000EL0201,tier_declasse_bati_sature_2,modeb_dispo,fiche_v2,True
97411000EL0201,tier_declasse_bati_sature_2,modeb_dispo,fiche_legacy,True
97411000EL0201,tier_declasse_bati_sature_2,modeb_dispo,endpoint_modeb,True
97411000EL0201,tier_declasse_bati_sature_2,sdp_residuelle,fiche_v2,114
97411000EL0201,tier_declasse_bati_sature_2,sdp_residuelle,carte_tuile,114
97411000EL0201,tier_declasse_bati_sature_2,sdp_residuelle,db_residuel,114
97411000EL0201,tier_declasse_bati_sature_2,vigilances,fiche_v2,"declassement,ocs_ge,pente,prescription_plu,residuel_socle,risques,sup"
97411000EL0201,tier_declasse_bati_sature_2,vigilances,carte_tuile,"declassement,ocs_ge,pente,prescription_plu,residuel_socle,risques,sup"
97411000EP0228,temoin_EP0228_piscine_M39_M40,tier,fiche_v2,chaude
97411000EP0228,temoin_EP0228_piscine_M39_M40,tier,fiche_legacy,chaude
97411000EP0228,temoin_EP0228_piscine_M39_M40,tier,carte_tuile,chaude
97411000EP0228,temoin_EP0228_piscine_M39_M40,tier,db_verite,chaude
97411000EP0228,temoin_EP0228_piscine_M39_M40,tier,export_md,chaude
97411000EP0228,temoin_EP0228_piscine_M39_M40,rang,fiche_v2,5264
97411000EP0228,temoin_EP0228_piscine_M39_M40,rang,fiche_legacy,5264
97411000EP0228,temoin_EP0228_piscine_M39_M40,rang,carte_tuile,5264
97411000EP0228,temoin_EP0228_piscine_M39_M40,rang,db_verite,5264
97411000EP0228,temoin_EP0228_piscine_M39_M40,mult,fiche_v2,2.65
97411000EP0228,temoin_EP0228_piscine_M39_M40,mult,carte_tuile,2.65
97411000EP0228,temoin_EP0228_piscine_M39_M40,mult,db_verite,2.65
97411000EP0228,temoin_EP0228_piscine_M39_M40,prix_probable,fiche_legacy,77516
97411000EP0228,temoin_EP0228_piscine_M39_M40,charge_supportable,fiche_legacy,25912
97411000EP0228,temoin_EP0228_piscine_M39_M40,marge_estimee,fiche_legacy,-51604
97411000EP0228,temoin_EP0228_piscine_M39_M40,ca_central,module_faisa,94050
97411000EP0228,temoin_EP0228_piscine_M39_M40,ca_central,fiche_legacy,94050
97411000EP0228,temoin_EP0228_piscine_M39_M40,charge_fonciere_central,module_faisa,-36118
97411000EP0228,temoin_EP0228_piscine_M39_M40,charge_fonciere_central,fiche_legacy,-36118
97411000EP0228,temoin_EP0228_piscine_M39_M40,modeb_dispo,fiche_v2,False
97411000EP0228,temoin_EP0228_piscine_M39_M40,modeb_dispo,fiche_legacy,False
97411000EP0228,temoin_EP0228_piscine_M39_M40,modeb_dispo,endpoint_modeb,False
97411000EP0228,temoin_EP0228_piscine_M39_M40,sdp_residuelle,fiche_v2,67
97411000EP0228,temoin_EP0228_piscine_M39_M40,sdp_residuelle,carte_tuile,67
97411000EP0228,temoin_EP0228_piscine_M39_M40,sdp_residuelle,db_residuel,67
97411000EP0228,temoin_EP0228_piscine_M39_M40,vigilances,fiche_v2,"declassement,pente,prescription_plu,residuel_socle,risques,sup"
97411000EP0228,temoin_EP0228_piscine_M39_M40,vigilances,carte_tuile,"declassement,pente,prescription_plu,residuel_socle,risques,sup"
97411000HM0273,tier_ecartee,tier,fiche_v2,ecartee
97411000HM0273,tier_ecartee,tier,fiche_legacy,ecartee
97411000HM0273,tier_ecartee,tier,carte_tuile,ecartee
97411000HM0273,tier_ecartee,tier,db_verite,ecartee
97411000HM0273,tier_ecartee,tier,export_md,ecartee
97411000HM0273,tier_ecartee,rang,fiche_v2,8
97411000HM0273,tier_ecartee,rang,fiche_legacy,8
97411000HM0273,tier_ecartee,rang,carte_tuile,8
97411000HM0273,tier_ecartee,rang,db_verite,8
97411000HM0273,tier_ecartee,mult,fiche_v2,22.12
97411000HM0273,tier_ecartee,mult,carte_tuile,22.12
97411000HM0273,tier_ecartee,mult,db_verite,22.12
97411000HM0273,tier_ecartee,ca_central,module_faisa,100000
97411000HM0273,tier_ecartee,ca_central,fiche_legacy,100000
97411000HM0273,tier_ecartee,charge_fonciere_central,module_faisa,0
97411000HM0273,tier_ecartee,charge_fonciere_central,fiche_legacy,0
97411000HM0273,tier_ecartee,modeb_dispo,fiche_v2,False
97411000HM0273,tier_ecartee,modeb_dispo,fiche_legacy,False
97411000HM0273,tier_ecartee,modeb_dispo,endpoint_modeb,False
97411000HM0273,tier_ecartee,sdp_residuelle,fiche_v2,19
97411000HM0273,tier_ecartee,sdp_residuelle,carte_tuile,19
97411000HM0273,tier_ecartee,sdp_residuelle,db_residuel,19
97411000HM0273,tier_ecartee,vigilances,fiche_v2,"ocs_ge,prescription_plu,residuel_socle,risques,sup"
97411000HM0273,tier_ecartee,vigilances,carte_tuile,"ocs_ge,prescription_plu,residuel_socle,risques,sup"
97411000KA0296,tier_brulante_2,tier,fiche_v2,brulante
97411000KA0296,tier_brulante_2,tier,fiche_legacy,brulante
97411000KA0296,tier_brulante_2,tier,carte_tuile,brulante
97411000KA0296,tier_brulante_2,tier,db_verite,brulante
97411000KA0296,tier_brulante_2,tier,export_md,brulante
97411000KA0296,tier_brulante_2,rang,fiche_v2,5
97411000KA0296,tier_brulante_2,rang,fiche_legacy,5
97411000KA0296,tier_brulante_2,rang,carte_tuile,5
97411000KA0296,tier_brulante_2,rang,db_verite,5
97411000KA0296,tier_brulante_2,mult,fiche_v2,22.12
97411000KA0296,tier_brulante_2,mult,carte_tuile,22.12
97411000KA0296,tier_brulante_2,mult,db_verite,22.12
97411000KA0296,tier_brulante_2,prix_probable,fiche_legacy,147801
97411000KA0296,tier_brulante_2,charge_supportable,fiche_legacy,27845
97411000KA0296,tier_brulante_2,marge_estimee,fiche_legacy,-119956
97411000KA0296,tier_brulante_2,ca_central,module_faisa,247950
97411000KA0296,tier_brulante_2,ca_central,fiche_legacy,247950
97411000KA0296,tier_brulante_2,charge_fonciere_central,module_faisa,-15439
97411000KA0296,tier_brulante_2,charge_fonciere_central,fiche_legacy,-15439
97411000KA0296,tier_brulante_2,modeb_dispo,fiche_v2,False
97411000KA0296,tier_brulante_2,modeb_dispo,fiche_legacy,False
97411000KA0296,tier_brulante_2,modeb_dispo,endpoint_modeb,False
97411000KA0296,tier_brulante_2,sdp_residuelle,fiche_v2,72
97411000KA0296,tier_brulante_2,sdp_residuelle,carte_tuile,72
97411000KA0296,tier_brulante_2,sdp_residuelle,db_residuel,72
97411000KA0296,tier_brulante_2,vigilances,fiche_v2,"prescription_plu,residuel_socle,risques,sup"
97411000KA0296,tier_brulante_2,vigilances,carte_tuile,"prescription_plu,residuel_socle,risques,sup"
97413000AV2046,tier_declasse_au_fermee,tier,fiche_v2,declasse_au_fermee
97413000AV2046,tier_declasse_au_fermee,tier,fiche_legacy,declasse_au_fermee
97413000AV2046,tier_declasse_au_fermee,tier,carte_tuile,declasse_au_fermee
97413000AV2046,tier_declasse_au_fermee,tier,db_verite,declasse_au_fermee
97413000AV2046,tier_declasse_au_fermee,tier,export_md,declasse_au_fermee
97413000AV2046,tier_declasse_au_fermee,rang,fiche_v2,3909
97413000AV2046,tier_declasse_au_fermee,rang,fiche_legacy,3909
97413000AV2046,tier_declasse_au_fermee,rang,carte_tuile,3909
97413000AV2046,tier_declasse_au_fermee,rang,db_verite,3909
97413000AV2046,tier_declasse_au_fermee,mult,fiche_v2,3.25
97413000AV2046,tier_declasse_au_fermee,mult,carte_tuile,3.25
97413000AV2046,tier_declasse_au_fermee,mult,db_verite,3.25
97413000AV2046,tier_declasse_au_fermee,prix_probable,fiche_legacy,281314
97413000AV2046,tier_declasse_au_fermee,charge_supportable,fiche_legacy,154513
97413000AV2046,tier_declasse_au_fermee,marge_estimee,fiche_legacy,-126801
97413000AV2046,tier_declasse_au_fermee,ca_central,module_faisa,460752
97413000AV2046,tier_declasse_au_fermee,ca_central,fiche_legacy,460752
97413000AV2046,tier_declasse_au_fermee,charge_fonciere_central,module_faisa,18397
97413000AV2046,tier_declasse_au_fermee,charge_fonciere_central,fiche_legacy,18397
97413000AV2046,tier_declasse_au_fermee,modeb_dispo,fiche_v2,False
97413000AV2046,tier_declasse_au_fermee,modeb_dispo,fiche_legacy,False
97413000AV2046,tier_declasse_au_fermee,modeb_dispo,endpoint_modeb,False
97413000AV2046,tier_declasse_au_fermee,sdp_residuelle,fiche_v2,142
97413000AV2046,tier_declasse_au_fermee,sdp_residuelle,carte_tuile,142
97413000AV2046,tier_declasse_au_fermee,sdp_residuelle,db_residuel,142
97413000AV2046,tier_declasse_au_fermee,vigilances,fiche_v2,"abf,bruit_route,cinquante_pas,emprise_routiere,icpe,residuel_socle,risques,sol_pollue,sup"
97413000AV2046,tier_declasse_au_fermee,vigilances,carte_tuile,"abf,bruit_route,cinquante_pas,emprise_routiere,icpe,residuel_socle,risques,sol_pollue,sup"
97413000AV2297,special_M41_radar_commune,tier,fiche_v2,brulante
97413000AV2297,special_M41_radar_commune,tier,fiche_legacy,brulante
97413000AV2297,special_M41_radar_commune,tier,carte_tuile,brulante
97413000AV2297,special_M41_radar_commune,tier,db_verite,brulante
97413000AV2297,special_M41_radar_commune,tier,export_md,brulante
