idu,vendue,T,v_stocke,v_recalcule,owner_type,pts_A,pts_B,pts_C,pts_D,pts_E,codes
97409000AP1832,1,2023-03-21,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AR0660,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1389,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AC0253,1,2024-08-28,28,28,pm,20,0,0,8,0,BODACC_SAUVEGARDE:20;DVF_TENURE_OBS5:8
97415000DE0093,1,2023-03-29,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97403000AS1640,1,2024-03-27,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97412000BT0195,1,2024-12-16,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000DN0094,1,2023-05-01,36,36,pm,18,18,0,0,0,BODACC_RADIATION:18;RNE_CESSATION:18
97416000DE1473,1,2022-06-30,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97422000CH0572,1,2022-04-12,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97422000BW3475,1,2023-12-25,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AZ0148,1,2024-12-23,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97416000DT0629,1,2024-08-28,37,37,pm,0,25,4,8,0,RNE_CESSATION:25;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1541,1,2023-05-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97403000AS2056,1,2023-01-23,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000HT0071,1,2022-06-15,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BM1417,1,2023-06-29,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97422000EN0148,1,2024-09-01,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97419000AR0736,1,2024-06-09,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97422000BW2626,1,2022-07-06,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AB1057,1,2022-03-24,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AL0069,1,2024-09-22,27,27,pm,0,12,15,0,0,RNE_DIRIGEANT_65:12;GEO_HORS_ILE:15
97415000DS0474,1,2023-12-07,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97421000BD0076,1,2022-07-31,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97419000AT0006,1,2023-07-11,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97421000AH0145,1,2022-11-24,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000IL0757,1,2022-12-04,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97408000AT2084,1,2022-12-13,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97424000AH0979,1,2022-03-14,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AB0408,1,2024-09-26,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000IL0313,1,2022-11-17,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000EZ0106,1,2024-03-31,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97407000BL0247,1,2024-11-27,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AC1642,1,2023-05-18,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000AT2080,1,2022-12-13,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000CX1314,1,2023-06-25,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1440,1,2024-10-02,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97404000AV0523,1,2024-08-22,37,37,pm,0,25,4,8,0,RNE_CESSATION:25;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000DN0087,1,2024-06-05,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97408000AT0335,1,2022-12-13,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AK0187,1,2022-10-31,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AR0662,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BK0062,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000DL0327,1,2022-02-15,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000CS1188,1,2024-09-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000DW0155,1,2023-11-29,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000HT0070,1,2022-06-15,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DI0102,1,2024-02-21,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97409000AD0629,1,2024-05-26,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97416000DT0131,1,2023-01-26,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000DE0346,1,2022-03-10,45,45,pm,0,22,15,8,0,RNE_DIRIGEANT_75:22;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97402000AH0137,1,2023-03-01,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000HV0171,1,2022-04-25,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AC0003,1,2024-08-28,28,28,pm,20,0,0,8,0,BODACC_SAUVEGARDE:20;DVF_TENURE_OBS5:8
97424000AH0672,1,2022-03-08,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000CV0521,1,2022-10-30,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97422000CS1603,1,2023-12-03,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97416000DW0124,1,2024-08-05,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000AC0068,1,2023-09-12,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97423000AK1609,1,2022-09-19,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BM1418,1,2023-06-29,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97401000AR1202,1,2024-08-22,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97418000BK0101,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000AK0189,1,2022-06-16,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97419000AI0500,1,2023-09-25,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
