idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97414000CO1450,0.07943,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 511 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.1289,0.1036
97405000AR1669,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 7 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1713,0.1617,0.1036
97407000AL0696,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 545 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.1289,0.1036
97410000AY0494,0.07943,Secteur densément bâti (BD TOPO 2026),Frein — 0 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 483 m² (cadastre),0.2553,-0.2221,0.2132
97416000ET1571,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 509 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.195,0.1289,0.1036
97402000AD0583,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 591 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2864,0.1289,0.1036
97422000CP0498,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 44402 m² (cadastre),1.8108,-0.5621,0.461
97413000CX2351,0.07943,Parcelle de 496 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1289,0.1036,0.0875
97416000EL0070,0.07943,Parcelle de 392 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.2132,0.1036,0.0926
97416000CX0623,0.07943,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.1161,0.1036
97415000CY1177,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 2218 m² (cadastre),1.1814,0.3786,0.1888
97414000EZ0228,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1013 m² (cadastre),1.1784,0.3786,0.1302
97416000ET2116,0.07943,Frein — Le propriétaire a vendu une autre parcelle depuis 24 mois (millésimes fonciers PM 2019-2024),18 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),24 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),-0.6133,0.2623,0.2532
97422000CH0778,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 1301 m² (cadastre),1.2448,0.2532,0.1888
97415000AT0712,0.07943,Parcelle de 598 m² (cadastre),0% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1289,0.1094,0.1036
97420000AZ0588,0.07943,Parcelle de 464 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"107 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2132,0.1036,0.0643
97415000AZ1955,0.07943,Parcelle de 308 m² (cadastre),"72 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97401000AS1489,0.07943,Parcelle de 575 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.1289,0.1036,-0.0955
97411000CX1865,0.07943,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 385 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.2132,0.1036
