idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97412000BY1852,2025-11-07,False,,,,False
97416000HY0830,2025-03-17,True,,,,False
97424000AM0644,2025-10-15,True,,,,False
97401000AL0719,2025-12-10,False,,,,False
97414000CO0615,2025-07-04,False,,,,False
97420000BH1862,2025-06-03,True,,,,False
97414000EN4208,2025-12-04,False,,,,False
97406000AM0993,2025-03-27,False,,,,False
97415000HO0705,2025-02-11,False,,,,False
97415000AZ0533,2025-11-04,False,,,,False
97407000AX0222,2025-03-14,False,,,,False
97404000AZ0015,2025-10-27,False,,,,False
97407000AE0468,2025-06-30,True,,,,False
97413000DD1537,2025-12-19,True,,,,False
97411000CH0710,2025-10-24,False,,,,False
97408000AP1664,2025-09-11,True,,,,False
97408000BO0388,2025-08-13,True,,,,False
97410000BW0965,2025-01-29,True,,,,False
97414000EV0079,2025-12-15,False,,,,False
97411000HW0339,2025-12-15,True,,,,False
97412000CE2826,2025-04-07,False,,,,False
97416000CX1429,2025-03-18,False,,,,False
97424000AE0345,2025-01-16,False,,,,False
97416000CS0649,2025-03-26,True,,,,False
97415000EY2107,2025-09-09,False,,,,False
97413000CX2476,2025-07-19,True,,,,False
97411000ER0089,2025-08-22,False,,,,False
97420000AH0124,2025-09-30,False,,,,False
97419000AC0212,2025-05-27,False,,,,False
97421000AD0037,2025-11-27,False,,,,False
97422000BV2040,2025-10-02,True,,,,False
97412000AL0223,2025-06-27,True,,,,False
97422000ED0272,2025-08-22,True,,,,False
97410000AW1053,2025-08-22,True,,,,False
97411000HP0397,2025-04-18,True,,,,False
97409000AY1512,2025-03-17,True,,,,False
97406000AV1320,2025-07-23,True,,,,False
97414000CH1636,2025-05-19,False,,,,False
97408000AO1879,2025-07-18,False,,,,False
97401000AN0949,2025-11-05,False,,,,False
97414000CP0735,2025-03-31,True,,,,False
97424000AB0024,2025-01-15,False,,,,False
97413000DE2118,2025-06-18,True,,,,False
97418000BN0032,2025-02-06,True,,,,False
97407000BE0313,2025-11-06,True,,,,False
97424000AP0118,2025-04-29,False,,,,False
97420000BE0968,2025-05-07,True,,,,False
97416000DE1059,2025-12-31,False,,,,False
97413000CQ0638,2025-09-16,False,,,,False
97413000CX2192,2025-08-18,True,,,,False
97415000DX0397,2025-03-17,True,,,,False
97414000DK0574,2025-06-30,True,,,,False
97424000AE1320,2025-01-16,False,,,,False
97404000AC0876,2025-06-30,True,,,,False
97415000CW0832,2025-07-01,True,,,,False
97416000EX1204,2025-02-13,True,,,,False
97405000BE1778,2025-11-27,True,,,,False
97412000AT0488,2025-05-09,False,,,,False
97416000HO0811,2025-10-01,False,,,,False
97421000BC0090,2025-05-16,True,,,,False
97402000AK2164,2025-04-04,True,,,,False
97422000BP0762,2025-01-14,False,,,,False
97418000AT2571,2025-12-03,True,,,,False
97422000DI0401,2025-04-04,False,,,,False
97422000BP1976,2025-04-08,True,,,,False
97411000EK0448,2025-02-11,False,,,,False
97408000BO0248,2025-09-15,False,,,,False
97412000BK0712,2025-05-22,False,,,,False
97422000BI1097,2025-11-27,True,,,,False
97411000AV0139,2025-07-11,True,,,,False
97413000CX2551,2025-09-22,True,,,,False
97409000AK0716,2025-06-12,False,,,,False
97415000HK0086,2025-09-11,False,,,,False
97418000AT0361,2025-07-21,True,,,,False
97416000HN1323,2025-09-16,True,,,,False
97411000EH0176,2025-04-03,True,,,,False
97412000CR0383,2025-06-26,False,,,,False
97413000DM0209,2025-06-30,False,,,,False
97411000HO0629,2025-01-27,True,,,,False
97412000CD0941,2025-02-12,True,,,,False
97415000BP0431,2025-08-29,False,,,,False
97411000HE0345,2025-07-22,False,,,,False
97422000AY1032,2025-07-04,True,,,,False
97422000CI0958,2025-02-19,False,,,,False
97419000AL1177,2025-07-15,True,,,,False
97422000CI0598,2025-09-22,True,,,,False
97416000IL0577,2025-08-29,False,,,,False
97411000DR0367,2025-05-15,False,,,,False
97424000AL0018,2025-01-16,False,,,,False
97408000AC2787,2025-12-16,False,,,,False
97415000AY1416,2025-08-04,False,,,,False
97419000AK0066,2025-06-12,True,,,,False
97411000EK0007,2025-12-12,False,,,,False
97408000AP1655,2025-09-11,True,,,,False
97416000EI1105,2025-07-24,True,,,,False
97415000AZ0785,2025-02-21,False,,,,False
97413000CX2895,2025-09-22,True,,,,False
97415000BH0238,2025-10-14,True,,,,False
97414000EN4188,2025-10-06,True,,,,False
97409000BD0587,2025-08-27,True,,,,False
97408000BO0631,2025-12-23,False,,,,False
97422000CX0984,2025-10-24,True,,,,False
97415000CO0544,2025-07-01,True,,,,False
97415000DE0203,2025-03-11,False,,,,False
97401000AL0685,2025-02-13,False,,,,False
97416000ET0336,2025-12-03,False,,,,False
97416000HX0900,2025-12-29,False,,,,False
97414000DN0181,2025-02-27,False,,,,False
97412000CS0116,2025-12-22,True,,,,False
97411000AW0631,2025-10-22,False,,,,False
97422000BV2031,2025-02-21,False,,,,False
97411000IH0516,2025-02-05,False,,,,False
97410000BM1188,2025-10-18,True,,,,False
97415000AB0534,2025-07-29,True,,,,False
97415000CX1396,2025-02-24,False,,,,False
97405000AI0220,2025-06-02,False,,,,False
97418000AT2395,2025-11-17,False,,,,False
97417000AT0564,2025-05-16,False,,,,False
97422000CO0717,2025-06-27,False,,,,False
97416000HZ0426,2025-05-30,False,,,,False
97422000AY1531,2025-07-28,False,,,,False
97414000HL0762,2025-11-29,False,,,,False
97411000HO0892,2025-07-08,False,,,,False
97411000HW0294,2025-11-27,True,,,,False
97416000EW1288,2025-08-28,True,,,,False
97418000AW0691,2025-02-21,False,,,,False
97416000EN0129,2025-05-14,False,,,,False
97415000BZ0668,2025-04-02,True,,,,False
97411000AD0497,2025-01-30,True,,,,False
97411000IC0140,2025-01-16,False,,,,False
97418000BM0054,2025-04-24,False,,,,False
97415000AZ2012,2025-07-31,False,,,,False
97422000AY1035,2025-07-04,True,,,,False
97414000EV0786,2025-07-10,True,,,,False
