idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97410000AW1053,2025-08-22,True,,,,False
97409000AY1512,2025-03-17,True,,,,False
97418000AT1785,2024-07-18,False,,,,False
97406000AV1320,2025-07-23,True,,,,False
97415000BZ0756,2024-10-15,True,,,,False
97412000AH1298,2024-09-27,False,,,,False
97414000CP0735,2025-03-31,True,,,,False
97411000EP0002,2024-12-05,False,,,,False
97413000DE2118,2025-06-18,True,,,,False
97418000BN0032,2025-02-06,True,,,,False
97414000EK0495,2024-12-30,False,,,,False
97420000BE0968,2025-05-07,True,,,,False
97424000AP0118,2025-04-29,False,,,,False
97416000DE1059,2025-12-31,False,,,,False
97413000CQ0638,2025-09-16,False,,,,False
97413000CX2192,2025-08-18,True,,,,False
97417000AT0494,2024-09-04,True,,,,False
97415000EV0800,2024-02-08,True,,,,False
97415000EH0519,2024-01-31,True,,,,False
97424000AE1320,2025-01-16,False,,,,False
97410000BE0560,2024-02-16,True,,,,False
97409000AB0435,2024-06-13,False,,,,False
97412000AT0488,2025-05-09,False,,,,False
97416000EK0606,2024-04-19,False,,,,False
97405000BE1778,2025-11-27,True,,,,False
97416000HO0811,2025-10-01,False,,,,False
97416000CW2886,2024-12-27,False,,,,False
97422000BP0762,2025-01-14,False,,,,False
97402000AK2164,2025-04-04,True,,,,False
97415000CT1881,2024-07-18,False,,,,False
97422000BP1976,2025-04-08,True,,,,False
97414000HI1497,2024-11-27,True,,,,False
97408000BO0248,2025-09-15,False,,,,False
97412000BK0712,2025-05-22,False,,,,False
97404000AM1104,2024-04-24,True,,,,False
97411000AV0139,2025-07-11,True,,,,False
97422000BI1097,2025-11-27,True,,,,False
97413000CX2551,2025-09-22,True,,,,False
97409000AK0716,2025-06-12,False,,,,False
97415000CM2365,2024-11-02,True,,,,False
97412000AZ0864,2024-04-29,False,,,,False
97415000CW0947,2024-02-21,False,,,,False
97415000HK0086,2025-09-11,False,,,,False
97416000HN1323,2025-09-16,True,,,,False
97421000AL0457,2024-12-18,True,,,,False
97415000AX0452,2024-10-14,False,,,,False
97412000CD0941,2025-02-12,True,,,,False
97415000BP0431,2025-08-29,False,,,,False
97411000HE0345,2025-07-22,False,,,,False
97412000CS0449,2024-11-12,True,,,,False
97422000CI0958,2025-02-19,False,,,,False
97411000IZ0165,2024-05-23,False,,,,False
97422000CI0598,2025-09-22,True,,,,False
97416000CS1251,2024-04-16,True,,,,False
97416000IL0577,2025-08-29,False,,,,False
97408000AB0269,2024-09-24,True,,,,False
97408000AP1655,2025-09-11,True,,,,False
97416000EI1105,2025-07-24,True,,,,False
97415000BV1047,2024-01-23,True,,,,False
97415000BH0238,2025-10-14,True,,,,False
97416000CV1895,2024-07-10,True,,,,False
97409000BD0587,2025-08-27,True,,,,False
97411000EH0134,2024-11-29,True,,,,False
97415000CO0544,2025-07-01,True,,,,False
97408000BO0631,2025-12-23,False,,,,False
97411000HC0015,2024-04-11,False,,,,False
97401000AL0685,2025-02-13,False,,,,False
97416000ET0336,2025-12-03,False,,,,False
97415000CH1635,2024-01-31,False,,,,False
97414000DN0181,2025-02-27,False,,,,False
97415000BZ1077,2024-04-09,False,,,,False
97415000DS0101,2024-11-19,True,,,,False
97411000HP0257,2024-05-30,False,,,,False
97409000AE0161,2024-11-06,False,,,,False
97422000AR0023,2024-12-12,True,,,,False
97410000AT1066,2024-08-13,False,,,,False
97413000BD0045,2024-09-09,True,,,,False
97411000EO0193,2024-02-02,False,,,,False
97405000AI0220,2025-06-02,False,,,,False
97422000BN1404,2024-01-24,False,,,,False
97418000AT2395,2025-11-17,False,,,,False
97416000DZ0355,2024-09-09,False,,,,False
97422000BT1428,2024-04-24,True,,,,False
97416000HZ0426,2025-05-30,False,,,,False
97422000AY1531,2025-07-28,False,,,,False
97415000CR1263,2024-06-20,False,,,,False
97401000AO1113,2024-12-24,False,,,,False
97422000AK0773,2024-12-27,True,,,,False
97415000CY1185,2024-08-30,False,,,,False
97411000HW0294,2025-11-27,True,,,,False
97413000CY1541,2024-10-30,False,,,,False
97410000BX1860,2024-05-07,False,,,,False
97416000EW1288,2025-08-28,True,,,,False
97416000EN0129,2025-05-14,False,,,,False
97409000BM1108,2024-08-30,False,,,,False
97412000BO0497,2024-10-29,True,,,,False
97415000BZ0668,2025-04-02,True,,,,False
97411000AM0226,2024-03-29,False,,,,False
97411000IC0140,2025-01-16,False,,,,False
97415000AZ2012,2025-07-31,False,,,,False
97422000AY1035,2025-07-04,True,,,,False
97416000HR0213,2024-08-26,False,,,,False
97414000EV0786,2025-07-10,True,,,,False
97416000CS1639,2024-04-16,True,,,,False
97409000BL0204,2024-10-08,True,,,,False
97412000AZ0957,2024-10-14,False,,,,False
97415000CY0878,2024-02-02,False,,,,False
97423000AC0397,2024-01-14,True,,,,False
97416000EX1903,2024-12-10,True,,,,False
97410000AH1295,2025-10-15,True,,,,False
97422000BT0720,2025-09-29,False,,,,False
97415000DR0493,2024-02-02,True,,,,False
97415000CT1095,2024-06-14,True,,,,False
97422000CE0005,2025-09-29,False,,,,False
97414000CO1281,2024-08-13,True,,,,False
97422000AK1064,2025-08-13,False,,,,False
97410000AN0702,2025-04-30,True,,,,False
97422000CR0712,2024-04-10,False,,,,False
97406000AW0386,2024-02-19,False,,,,False
97411000AL0047,2025-11-06,False,,,,False
97406000AM0964,2024-08-14,False,,,,False
97412000AV1084,2024-12-24,False,,,,False
97411000KE0390,2024-06-19,True,,,,False
97410000AR0663,2024-11-29,True,,,,False
97418000AT1675,2024-12-23,True,,,,False
97415000CO0366,2025-07-01,True,,,,False
97416000CX0708,2024-06-27,False,,,,False
97415000DR0606,2024-07-22,False,,,,False
97411000DE0378,2024-12-10,False,,,,False
97415000DI0711,2025-07-11,True,,,,False
97416000ET2148,2025-04-22,True,,,,False
97420000AO0596,2025-09-09,True,,,,False
97415000ER1728,2024-02-05,False,,,,False
97414000HC0375,2024-08-28,False,,,,False
97415000DE0854,2024-12-31,False,,,,False
97418000AC0156,2025-10-16,True,,,,False
97415000AW0865,2025-12-09,False,,,,False
97405000AD0697,2024-07-15,True,,,,False
97412000BN0862,2025-04-07,True,,,,False
97422000DE0615,2024-02-29,False,,,,False
97413000AC0744,2024-01-23,True,,,,False
97416000DT0804,2024-03-06,False,,,,False
97421000BD0291,2025-12-11,True,,,,False
97411000BE0576,2025-11-04,True,,,,False
97411000CY0984,2024-10-09,True,,,,False
97412000AN0429,2025-12-30,False,,,,False
97423000AK2031,2025-09-09,True,,,,False
97412000BX1869,2024-05-13,False,,,,False
97410000AN0861,2025-11-28,True,,,,False
97410000AR0798,2025-01-30,False,,,,False
97412000BP0129,2025-10-31,False,,,,False
97416000HZ1050,2025-11-12,False,,,,False
97404000AH0962,2024-10-25,False,,,,False
97416000CZ1814,2024-10-01,True,,,,False
97415000CO0342,2025-07-01,True,,,,False
97415000AW2366,2025-02-24,True,,,,False
97422000BH0492,2025-03-17,False,,,,False
97416000ET2054,2024-02-02,True,,,,False
97415000DM1478,2024-06-11,False,,,,False
97416000CV1052,2024-02-08,True,,,,False
97411000HN0443,2025-09-03,True,,,,False
97412000BY1089,2024-09-23,False,,,,False
97416000ET1482,2024-01-31,False,,,,False
97408000AM0835,2024-06-21,False,,,,False
97412000BC0788,2025-05-30,False,,,,False
97422000BL1531,2025-12-08,False,,,,False
97411000DK0459,2024-12-02,True,,,,False
97416000CW1501,2025-12-11,False,,,,False
97415000ET1712,2024-05-28,False,,,,False
97412000BY1465,2024-06-15,True,,,,False
97418000AW0291,2024-06-27,True,,,,False
97419000AO0042,2025-10-16,True,,,,False
97414000CI0556,2024-01-09,True,,,,False
97401000AR1203,2025-08-22,True,,,,False
97414000ES1050,2024-09-05,False,,,,False
97411000HO0775,2025-05-06,False,,,,False
97420000BH2178,2025-02-26,False,,,,False
97401000AM1228,2025-08-13,True,,,,False
97415000CO0370,2025-07-01,True,,,,False
97411000KE0391,2024-02-15,True,,,,False
97408000BO0162,2025-12-11,True,,,,False
97420000AO0597,2025-09-09,True,,,,False
97408000AC3756,2025-07-10,True,,,,False
97412000AM2063,2024-11-29,True,,,,False
97401000AO0264,2024-10-15,True,,,,False
97411000AD0161,2025-03-26,False,,,,False
97416000DS0971,2024-05-23,True,,,,False
97408000AC1613,2025-11-24,False,,,,False
97408000AO1903,2025-02-21,True,,,,False
97420000BE0969,2024-08-23,True,,,,False
97410000AV0672,2025-10-14,True,,,,False
97411000DS0651,2025-07-11,False,,,,False
97413000CY1476,2024-12-23,True,,,,False
97416000DV0260,2024-09-16,False,,,,False
97418000AD0003,2025-10-16,True,,,,False
97416000HS0743,2025-01-10,False,,,,False
97414000DK0367,2024-10-28,False,,,,False
97404000AV0221,2025-04-25,True,,,,False
97419000AO0220,2024-12-04,False,,,,False
97408000AT1538,2025-03-03,False,,,,False
97411000BZ0925,2025-04-08,False,,,,False
97411000AE0243,2024-02-05,False,,,,False
97416000DL0173,2024-05-31,True,,,,False
97412000AM2048,2024-03-11,True,,,,False
97414000DH0323,2024-04-11,True,,,,False
97415000CD0122,2024-12-19,True,,,,False
97412000BY0587,2025-03-31,False,,,,False
97408000AV1048,2025-09-26,True,,,,False
97412000BW1803,2025-09-12,True,,,,False
97415000CM2125,2024-07-22,False,,,,False
97416000CS1267,2024-02-29,True,,,,False
97414000CH1947,2025-02-27,False,,,,False
97404000AC1326,2025-06-30,True,,,,False
97404000AV0223,2025-04-25,True,,,,False
