type,requete,resultat,geom_ok,verdict,note
adresse,1 Rue DE LA FOIRE,3 feats; idu attendu servi (97402000AH1041),,OK,
adresse,530 Rue de Cambuston,1 feats; idu attendu servi (97409000AE0038),OUI,OK,geom match idu=97409000AE0038 contains=True dist=0.0m
adresse,16 Rue Andre Batty,1 feats; idu attendu servi (97404000AL1185),,OK,
adresse,22 Chemin Valsin,2 feats; idu attendu servi (97415000DT1006),,OK,
adresse,162 Allée de Montaignac,1 feats; idu attendu servi (97404000AX0432),,OK,
adresse,45 Chemin Crescence,4 feats; idu attendu servi (97415000DR0136),,OK,
adresse,8 Rue de la Menuiserie,1 feats; idu attendu servi (97418000AV1293),OUI,OK,geom match idu=97418000AV1293 contains=True dist=0.0m
adresse,227 Rue Georges Pompidou,10 feats; idu attendu servi (97413000CC0861),,OK,
adresse,168 Rue Mahe de la Bourdonnais,1 feats; idu attendu servi (97405000BI0737),,OK,
adresse,134 Rue des Vanilliers,1 feats; idu attendu servi (97410000AH0957),,OK,
adresse,55 Rue des Jacques,2 feats; idu attendu servi (97408000AT1720),,OK,
adresse,28 Rue Kerautrai,1 feats; idu attendu servi (97417000BD1157),,OK,
adresse,30 Chemin Tamatave,1 feats; idu attendu servi (97415000CT0164),,OK,
adresse,9 Rue Pierre Marinier,3 feats; idu attendu servi (97418000AC0866),OUI,OK,geom match idu=97418000AC0866 contains=True dist=0.0m
adresse,1 Rue Joseph Adrien Badera,4 feats; idu attendu servi (97412000CD1502),OUI,OK,geom match idu=97412000CD1502 contains=True dist=0.0m
adresse,23 Boulevard de Saint François,1 feats; idu attendu servi (97411000DN0236),OUI,OK,geom match idu=97411000DN0236 contains=True dist=0.0m
adresse,29 Rue des Mouettes,1 feats; idu attendu servi (97415000EW0705),,OK,
adresse,31 Chemin du Portail,7 feats; idu attendu servi (97422000EN0284),,OK,
adresse,25 Chemin Moreau,1 feats; idu attendu servi (97410000BN0887),,OK,
adresse,211 Chemin Ramassamy Samna,1 feats; idu attendu servi (97411000IY0014),,OK,
adresse,9 Rue des Coccinelles,8 feats; idu attendu servi (97412000BL1107),,OK,
adresse,456 Chemin Ricquebourg,1 feats; idu attendu servi (97413000CQ0627),OUI,OK,geom match idu=97413000CQ0627 contains=True dist=0.0m
adresse,2 Chemin Kerbel,12 feats; idu attendu servi (97401000AS0866),OUI,OK,geom match idu=97401000AS0866 contains=False dist=2.7m
adresse,13 Chemin de la Cure,1 feats; idu attendu servi (97412000CV0589),OUI,OK,geom match idu=97412000CV0589 contains=True dist=0.0m
adresse,7 Impasse des Rochers,2 feats; idu attendu servi (97415000BY0055),,OK,
adresse,6 Avenue de la Gare,2 feats; idu attendu servi (97414000DH0921),OUI,OK,geom match idu=97414000DH0921 contains=True dist=0.0m
adresse,334 Rue de Cilaos,3 feats; idu attendu servi (97414000EX0311),,OK,
