idu,commune,grandeur,chemins_compares,valeurs,egalite,verdict,note
97406000AV1281,La Plaine-des-Palmistes,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97406000AV1281,La Plaine-des-Palmistes,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 75.0, ""geom_ST_Area_2975"": 74.91, ""parcels.surface_m2"": 74.91, ""mvt"": 74.91}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97406000AV1281,La Plaine-des-Palmistes,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97407000AL0891,Le Port,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97407000AL0891,Le Port,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""raw"":341.498,""tous_arrondis_a"":341}",OK,arrondi entier,valeur unique 341.498 partout; artefact de double-arrondi audit ecarte
97407000AL0891,Le Port,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 82, ""mvt"": 82, ""residuel(canon)"": 82}",OK,canon=parcel_residuel cause NULL,
97413000CX1509,Saint-Leu,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97413000CX1509,Saint-Leu,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1099.0, ""geom_ST_Area_2975"": 1098.66, ""parcels.surface_m2"": 1098.66, ""mvt"": 1098.66}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97413000CX1509,Saint-Leu,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97410000CD0576,Saint-Benoît,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97410000CD0576,Saint-Benoît,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 447.0, ""geom_ST_Area_2975"": 447.01, ""parcels.surface_m2"": 447.01, ""mvt"": 447.01}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97410000CD0576,Saint-Benoît,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 80, ""mvt"": 80, ""residuel(canon)"": 80}",OK,canon=parcel_residuel cause NULL,
97413000DG0470,Saint-Leu,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""À suivre"", ""v2/score(court)"": ""À suivre"", ""mvt(court)"": ""À suivre""}",OK,exp_court=À suivre raw=chaude,etage0=False
97413000DG0470,Saint-Leu,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 912.0, ""geom_ST_Area_2975"": 912.49, ""parcels.surface_m2"": 912.49, ""mvt"": 912.49}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97413000DG0470,Saint-Leu,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 349, ""mvt"": 349, ""renouv"": 349, ""residuel(canon)"": 349}",OK,canon=parcel_residuel cause NULL,
97421000AE0053,Salazie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97421000AE0053,Salazie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1391.0, ""geom_ST_Area_2975"": 1390.57, ""parcels.surface_m2"": 1390.57, ""mvt"": 1390.57}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97421000AE0053,Salazie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
