idu,commune,strate,v_surface,v_zone,v_tier,v_sdp,v_verdict,v_millesime,passe
97420000AL0468,Sainte-Suzanne,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97420000AR0858,Sainte-Suzanne,sliver,ERR,ERR,ERR,ERR,ERR,ERR,KO
97420000BD0365,Sainte-Suzanne,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97420000BD1329,Sainte-Suzanne,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000AB0085,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000AH0205,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000AM0420,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000AY0290,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000BD0333,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000BN0010,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000BO0186,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97421000BO0587,Salazie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
