idu,commune,siren,dirigeant_age,sci_dormante,horizon
97404000AM0693,L'Étang-Salé,435240239,81,False,3-7 ans
97404000AM0732,L'Étang-Salé,432970911,71,False,3-7 ans
97404000AM0737,L'Étang-Salé,507988152,71,False,3-7 ans
97404000AM1069,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AM1070,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AM1076,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AM1077,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AM1094,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AM1101,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AM1105,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AP0112,L'Étang-Salé,379310089,77,False,3-7 ans
97404000AP0270,L'Étang-Salé,417532686,74,False,3-7 ans
97404000AR0159,L'Étang-Salé,421637513,101,False,3-7 ans
97404000AR0364,L'Étang-Salé,434250239,76,False,3-7 ans
97404000AR0366,L'Étang-Salé,444453963,73,False,3-7 ans
97404000AR0400,L'Étang-Salé,513499376,78,False,3-7 ans
97404000AR0401,L'Étang-Salé,513499376,78,False,3-7 ans
97404000AR0495,L'Étang-Salé,499213387,75,False,3-7 ans
97404000AS0232,L'Étang-Salé,828071605,85,False,3-7 ans
97404000AT0103,L'Étang-Salé,849096730,72,False,3-7 ans
97404000AT0452,L'Étang-Salé,440041754,72,False,3-7 ans
97404000AW0147,L'Étang-Salé,904201043,73,False,3-7 ans
97404000AW0198,L'Étang-Salé,439395153,70,False,3-7 ans
97404000AW0199,L'Étang-Salé,439395153,70,False,3-7 ans
97404000AW0298,L'Étang-Salé,481554061,79,False,3-7 ans
97404000AW0302,L'Étang-Salé,498362375,71,False,3-7 ans
97404000AW0303,L'Étang-Salé,498362375,71,False,3-7 ans
97404000AW0324,L'Étang-Salé,793551821,85,False,3-7 ans
97404000AW0335,L'Étang-Salé,430446146,72,False,3-7 ans
97404000AW0336,L'Étang-Salé,430446146,72,False,3-7 ans
97404000AW0353,L'Étang-Salé,440296556,70,False,3-7 ans
97404000AW0633,L'Étang-Salé,481554061,79,False,3-7 ans
97404000AW0696,L'Étang-Salé,802522938,72,False,3-7 ans
97404000AX0144,L'Étang-Salé,480440718,72,False,3-7 ans
97404000AX0180,L'Étang-Salé,850857012,72,False,3-7 ans
97404000AX0181,L'Étang-Salé,850857012,72,False,3-7 ans
97404000AX0215,L'Étang-Salé,378561914,73,False,3-7 ans
97404000AX0219,L'Étang-Salé,531856532,73,False,3-7 ans
97404000AX0301,L'Étang-Salé,343360228,87,False,3-7 ans
97404000AX0448,L'Étang-Salé,389520032,79,False,3-7 ans
97404000AX0469,L'Étang-Salé,440041754,72,False,3-7 ans
97404000AX0532,L'Étang-Salé,343360228,87,False,3-7 ans
97404000AX0535,L'Étang-Salé,343360228,87,False,3-7 ans
97404000AX0537,L'Étang-Salé,343360228,87,False,3-7 ans
97404000AX0639,L'Étang-Salé,343360228,87,False,3-7 ans
97404000AX0640,L'Étang-Salé,343360228,87,False,3-7 ans
